theta	phi	psi	alpha	beta	CA	CN	CY	Cl	Cn	Cm
29.95787500     -14.72543500    0.00000000      29.13702263     -7.29232715     0.00955051      0.98620426      0.14332791      -0.01527705     -0.00935404     0.07621873     
29.95787500     -14.71858500    0.00000000      29.13778810     -7.28899185     0.00951919      0.98621308      0.14335018      -0.01529863     -0.00935546     0.07623192     
29.95809000     -14.71174500    0.00000000      29.13876344     -7.28570902     0.00948820      0.98622045      0.14337243      -0.01532002     -0.00935688     0.07624488     
29.95809000     -14.70377500    0.00000000      29.13965320     -7.28182816     0.00945744      0.98622644      0.14339463      -0.01534120     -0.00935832     0.07625759     
29.95809000     -14.69582000    0.00000000      29.14054080     -7.27795450     0.00942705      0.98623105      0.14341675      -0.01536217     -0.00935976     0.07627010     
29.95809000     -14.68689500    0.00000000      29.14153606     -7.27360838     0.00939694      0.98623434      0.14343886      -0.01538293     -0.00936121     0.07628236     
29.95809000     -14.67795000    0.00000000      29.14253293     -7.26925237     0.00936715      0.98623631      0.14346090      -0.01540347     -0.00936266     0.07629436     
29.95809000     -14.66902000    0.00000000      29.14352751     -7.26490354     0.00933767      0.98623684      0.14348287      -0.01542378     -0.00936412     0.07630615     
29.95809000     -14.66006500    0.00000000      29.14452427     -7.26054239     0.00930853      0.98623605      0.14350479      -0.01544388     -0.00936558     0.07631767     
29.95809000     -14.65111500    0.00000000      29.14551986     -7.25618355     0.00927969      0.98623394      0.14352665      -0.01546373     -0.00936705     0.07632894     
29.95809000     -14.64219500    0.00000000      29.14651150     -7.25183918     0.00925126      0.98623051      0.14354841      -0.01548336     -0.00936853     0.07633999     
29.95809000     -14.63325000    0.00000000      29.14750530     -7.24748250     0.00922315      0.98622576      0.14357009      -0.01550274     -0.00937001     0.07635073     
29.95809000     -14.62432500    0.00000000      29.14849628     -7.24313542     0.00919536      0.98621981      0.14359170      -0.01552188     -0.00937149     0.07636127     
29.95809000     -14.61539000    0.00000000      29.14948775     -7.23878334     0.00916799      0.98621255      0.14361323      -0.01554077     -0.00937298     0.07637149     
29.95809000     -14.60644000    0.00000000      29.15048027     -7.23442382     0.00914093      0.98620396      0.14363466      -0.01555941     -0.00937447     0.07638147     
29.95809000     -14.59750000    0.00000000      29.15147107     -7.23006903     0.00911427      0.98619413      0.14365598      -0.01557780     -0.00937596     0.07639120     
29.95809000     -14.58857500    0.00000000      29.15245960     -7.22572142     0.00908799      0.98618309      0.14367724      -0.01559592     -0.00937745     0.07640062     
29.95809000     -14.57963500    0.00000000      29.15344917     -7.22136636     0.00906207      0.98617085      0.14369836      -0.01561378     -0.00937895     0.07640978     
29.95809000     -14.57068500    0.00000000      29.15443924     -7.21700630     0.00903657      0.98615737      0.14371938      -0.01563138     -0.00938045     0.07641872     
29.95786500     -14.56174000    0.00000000      29.15520689     -7.21259914     0.00901143      0.98614268      0.14374028      -0.01564871     -0.00938194     0.07642731     
29.95786500     -14.55143000    0.00000000      29.15634593     -7.20757625     0.00898672      0.98612680      0.14376108      -0.01566575     -0.00938344     0.07643566     
29.95786500     -14.53560000    0.00000000      29.15809323     -7.19986375     0.00896237      0.98610978      0.14378174      -0.01568252     -0.00938494     0.07644374     
29.95786500     -14.52527000    0.00000000      29.15923242     -7.19483067     0.00893847      0.98609163      0.14380227      -0.01569901     -0.00938643     0.07645153     
