theta	phi	psi	alpha	beta	CD	CL	Cy	Cmx	Cmy	Cmz
29.95786500     -14.50456000    0.00000000      29.16151383     -7.18473960     0.50239811      0.85673661      0.08164963      -0.01261308     -0.01586466     0.07218723     
29.95786500     -14.49426000    0.00000000      29.16264726     -7.17972060     0.50238025      0.85671916      0.08171526      -0.01262408     -0.01587376     0.07219243     
29.95786500     -14.48395500    0.00000000      29.16378042     -7.17469898     0.50236216      0.85670054      0.08178080      -0.01263481     -0.01588271     0.07219749     
29.95786500     -14.47361500    0.00000000      29.16491661     -7.16966013     0.50234396      0.85668077      0.08184633      -0.01264527     -0.01589151     0.07220235     
29.95786500     -14.46330000    0.00000000      29.16604924     -7.16463328     0.50232554      0.85665991      0.08191164      -0.01265546     -0.01590015     0.07220707     
29.95786500     -14.45296000    0.00000000      29.16718380     -7.15959407     0.50230698      0.85663786      0.08197690      -0.01266536     -0.01590865     0.07221158     
29.95786500     -14.44263500    0.00000000      29.16831589     -7.15456200     0.50228826      0.85661475      0.08204194      -0.01267500     -0.01591699     0.07221595     
29.95786500     -14.43229000    0.00000000      29.16944936     -7.14951999     0.50226942      0.85659044      0.08210689      -0.01268435     -0.01592518     0.07222015     
29.95786500     -14.42197500    0.00000000      29.17057873     -7.14449243     0.50225041      0.85656514      0.08217158      -0.01269342     -0.01593320     0.07222418     
29.95786500     -14.41163000    0.00000000      29.17171056     -7.13945007     0.50223133      0.85653876      0.08223618      -0.01270220     -0.01594106     0.07222804     
29.95807500     -14.40130000    0.00000000      29.17304651     -7.13446045     0.50221519      0.85650950      0.08229981      -0.01271067     -0.01594880     0.07223171     
29.95807500     -14.38991500    0.00000000      29.17429029     -7.12891074     0.50219691      0.85648003      0.08236828      -0.01271865     -0.01595635     0.07223559     
29.95807500     -14.37853000    0.00000000      29.17553306     -7.12336081     0.50217844      0.85644949      0.08243657      -0.01272634     -0.01596373     0.07223927     
29.95807500     -14.36713500    0.00000000      29.17677594     -7.11780579     0.50215995      0.85641793      0.08250473      -0.01273374     -0.01597095     0.07224286     
29.95807500     -14.35573500    0.00000000      29.17801836     -7.11224811     0.50214142      0.85638534      0.08257269      -0.01274084     -0.01597800     0.07224625     
29.95807500     -14.34432000    0.00000000      29.17926143     -7.10668291     0.50212278      0.85635171      0.08264050      -0.01274763     -0.01598487     0.07224950     
29.95807500     -14.33292500    0.00000000      29.18050132     -7.10112724     0.50210414      0.85631719      0.08270800      -0.01275413     -0.01599157     0.07225256     
29.95807500     -14.32157000    0.00000000      29.18173586     -7.09559086     0.50208540      0.85628170      0.08277509      -0.01276034     -0.01599809     0.07225544     
29.95807500     -14.30463500    0.00000000      29.18357525     -7.08733343     0.50207169      0.85624002      0.08286471      -0.01276507     -0.01600453     0.07226014     
29.95807500     -14.29324000    0.00000000      29.18481168     -7.08177702     0.50205297      0.85620264      0.08293152      -0.01277065     -0.01601070     0.07226275     
29.95807500     -14.28184000    0.00000000      29.18604765     -7.07621795     0.50203426      0.85616428      0.08299810      -0.01277592     -0.01601668     0.07226519     
29.95807500     -14.27045000    0.00000000      29.18728154     -7.07066354     0.50201552      0.85612497      0.08306439      -0.01278090     -0.01602247     0.07226749     
29.95807500     -14.25907000    0.00000000      29.18851336     -7.06511380     0.50199678      0.85608477      0.08313038      -0.01278556     -0.01602809     0.07226967     
29.95807500     -14.24767000    0.00000000      29.18974635     -7.05955408     0.50197807      0.85604371      0.08319619      -0.01278990     -0.01603351     0.07227170     
29.95807500     -14.23625500    0.00000000      29.19097997     -7.05398684     0.50195948      0.85600175      0.08326177      -0.01279393     -0.01603875     0.07227359     
29.95917500     -14.22486000    0.00000000      29.19329300     -7.04866511     0.50195729      0.85594968      0.08332297      -0.01279749     -0.01604398     0.07227529     
29.95919500     -14.21217500    0.00000000      29.19468130     -7.04248206     0.50194023      0.85590466      0.08339309      -0.01280062     -0.01604886     0.07227734     
29.95919500     -14.19794500    0.00000000      29.19621514     -7.03554080     0.50192433      0.85585759      0.08346931      -0.01280310     -0.01605357     0.07227978     
29.95919500     -14.18375000    0.00000000      29.19774367     -7.02861629     0.50190840      0.85580964      0.08354508      -0.01280527     -0.01605809     0.07228211     
29.95919500     -14.16953500    0.00000000      29.19927280     -7.02168169     0.50189264      0.85576097      0.08362062      -0.01280712     -0.01606241     0.07228429     
29.95919500     -14.15532000    0.00000000      29.20080039     -7.01474675     0.50187694      0.85571143      0.08369586      -0.01280865     -0.01606654     0.07228639     
29.95919500     -14.14103500    0.00000000      29.20233394     -7.00777734     0.50186143      0.85566112      0.08377106      -0.01280983     -0.01607046     0.07228836     
29.95919500     -14.12688500    0.00000000      29.20385146     -7.00087346     0.50184592      0.85561019      0.08384539      -0.01281072     -0.01607419     0.07229020     
29.95919500     -14.11267000    0.00000000      29.20537440     -6.99393753     0.50183056      0.85555837      0.08391966      -0.01281128     -0.01607771     0.07229192     
29.95919500     -14.09838500    0.00000000      29.20690329     -6.98696712     0.50181544      0.85550584      0.08399388      -0.01281149     -0.01608103     0.07229357     
29.95919500     -14.08420500    0.00000000      29.20841939     -6.98004762     0.50180035      0.85545263      0.08406731      -0.01281141     -0.01608415     0.07229507     
29.95919500     -14.07000000    0.00000000      29.20993662     -6.97311558     0.50178548      0.85539880      0.08414050      -0.01281098     -0.01608706     0.07229649     
29.95919500     -14.05578500    0.00000000      29.21145337     -6.96617834     0.50177076      0.85534420      0.08421339      -0.01281023     -0.01608977     0.07229782     
29.95919500     -14.03437500    0.00000000      29.21373492     -6.95572916     0.50176239      0.85528242      0.08431528      -0.01280764     -0.01609239     0.07230152     
29.95919500     -14.02018000    0.00000000      29.21524566     -6.94880086     0.50174799      0.85522651      0.08438733      -0.01280624     -0.01609468     0.07230266     
29.95919500     -14.00592000    0.00000000      29.21676178     -6.94184050     0.50173385      0.85516989      0.08445929      -0.01280450     -0.01609676     0.07230372     
29.95702500     -13.99171000    0.00000000      29.21613426     -6.93444631     0.50168756      0.85513095      0.08453850      -0.01280274     -0.01609828     0.07230477     
29.95592500     -13.97979500    0.00000000      29.21631532     -6.92839849     0.50165543      0.85508447      0.08460407      -0.01280099     -0.01609972     0.07230491     
29.95592500     -13.97108500    0.00000000      29.21723879     -6.92414700     0.50163723      0.85503108      0.08465220      -0.01279943     -0.01610107     0.07230379     
29.95592500     -13.96240000    0.00000000      29.21815903     -6.91990760     0.50161930      0.85497715      0.08469981      -0.01279755     -0.01610220     0.07230264     
29.95592500     -13.95370000    0.00000000      29.21908028     -6.91566075     0.50160162      0.85492257      0.08474706      -0.01279533     -0.01610313     0.07230142     
29.95592500     -13.94501500    0.00000000      29.21999937     -6.91142111     0.50158422      0.85486751      0.08479382      -0.01279280     -0.01610384     0.07230011     
29.95592500     -13.93632000    0.00000000      29.22091893     -6.90717646     0.50156713      0.85481185      0.08484023      -0.01278993     -0.01610432     0.07229879     
29.95592500     -13.92762500    0.00000000      29.22183792     -6.90293169     0.50155029      0.85475563      0.08488621      -0.01278673     -0.01610460     0.07229741     
29.95592500     -13.91893000    0.00000000      29.22275632     -6.89868679     0.50153379      0.85469900      0.08493173      -0.01278321     -0.01610466     0.07229596     
29.95592500     -13.91024000    0.00000000      29.22367362     -6.89444422     0.50151757      0.85464181      0.08497681      -0.01277935     -0.01610450     0.07229448     
29.95592500     -13.90153500    0.00000000      29.22459193     -6.89019420     0.50150168      0.85458415      0.08502150      -0.01277518     -0.01610413     0.07229296     
29.95592500     -13.89285500    0.00000000      29.22550702     -6.88595627     0.50148611      0.85452604      0.08506561      -0.01277068     -0.01610353     0.07229143     
29.95592500     -13.88415000    0.00000000      29.22642416     -6.88170601     0.50147093      0.85446750      0.08510941      -0.01276584     -0.01610272     0.07228986     
29.95592500     -13.87546500    0.00000000      29.22733862     -6.87746539     0.50145607      0.85440849      0.08515264      -0.01276068     -0.01610168     0.07228826     
29.95592500     -13.86677000    0.00000000      29.22825356     -6.87321977     0.50144157      0.85434908      0.08519544      -0.01275521     -0.01610043     0.07228666     
29.95592500     -13.85807000    0.00000000      29.22916844     -6.86897158     0.50142741      0.85428925      0.08523779      -0.01274940     -0.01609896     0.07228504     
29.95596000     -13.84938500    0.00000000      29.23011564     -6.86473791     0.50141417      0.85422878      0.08527946      -0.01274327     -0.01609727     0.07228341     
29.95596000     -13.83975000    0.00000000      29.23112753     -6.86003289     0.50140157      0.85416740      0.08532466      -0.01273663     -0.01609538     0.07228211     
29.95791000     -13.83013000    0.00000000      29.23405798     -6.85574182     0.50141836      0.85408927      0.08536233      -0.01272939     -0.01609357     0.07228074     
29.95791000     -13.81672500    0.00000000      29.23546369     -6.84919496     0.50140962      0.85402374      0.08542197      -0.01272131     -0.01609129     0.07228074     
29.95791000     -13.80759500    0.00000000      29.23642032     -6.84473580     0.50139781      0.85396184      0.08546361      -0.01271382     -0.01608873     0.07227931     
29.95791000     -13.79846500    0.00000000      29.23737631     -6.84027651     0.50138636      0.85389952      0.08550476      -0.01270600     -0.01608594     0.07227786     
29.95791000     -13.78933000    0.00000000      29.23833219     -6.83581465     0.50137532      0.85383690      0.08554542      -0.01269787     -0.01608292     0.07227644     
29.95791000     -13.78019500    0.00000000      29.23928743     -6.83135265     0.50136478      0.85377407      0.08558556      -0.01268943     -0.01607969     0.07227509     
29.95791000     -13.77107000    0.00000000      29.24024098     -6.82689540     0.50135461      0.85371096      0.08562515      -0.01268067     -0.01607623     0.07227373     
29.95791000     -13.76192500    0.00000000      29.24119599     -6.82242825     0.50134492      0.85364756      0.08566427      -0.01267160     -0.01607256     0.07227243     
29.95791000     -13.75280000    0.00000000      29.24214826     -6.81797074     0.50133565      0.85358393      0.08570281      -0.01266223     -0.01606865     0.07227117     
29.95791000     -13.74366500    0.00000000      29.24310095     -6.81350821     0.50132682      0.85352011      0.08574083      -0.01265254     -0.01606454     0.07226996     
29.95791000     -13.73454000    0.00000000      29.24405195     -6.80905044     0.50131848      0.85345609      0.08577829      -0.01264256     -0.01606020     0.07226882     
29.95791000     -13.72540500    0.00000000      29.24500336     -6.80458764     0.50131062      0.85339185      0.08581523      -0.01263226     -0.01605564     0.07226773     
29.95791000     -13.71624000    0.00000000      29.24595725     -6.80011006     0.50130319      0.85332743      0.08585176      -0.01262166     -0.01605086     0.07226666     
29.96112500     -13.70712500    0.00000000      29.25007309     -6.79632147     0.50134415      0.85323596      0.08587613      -0.01261032     -0.01604637     0.07226558     
29.96109500     -13.69070500    0.00000000      29.25174989     -6.78829188     0.50134309      0.85316500      0.08594134      -0.01259759     -0.01604127     0.07226718     
29.96109500     -13.66681500    0.00000000      29.25422883     -6.77661763     0.50134896      0.85308718      0.08603647      -0.01258300     -0.01603608     0.07227138     
